date,sun_distance_au,sun_influence,jupiter_distance_au,jupiter_influence,saturn_distance_au,saturn_influence,venus_distance_au,venus_influence,mars_distance_au,mars_influence,total_planetary_influence,total_influence,coherence_mean,coherence_median,coherence_std,coherence_count,year,total_gravitational_influence
2020-01-01,147098545.90650654,1.538710942649024e-11,928836577.760675,3.683623827502706e-16,1645037202.337048,3.517916285822896e-17,191173178.23590648,2.2299939669413948e-17,326791934.88023585,1.001938622923836e-18,4.2684342390083743e-16,1.538753626991414e-11,-0.0114700984104735,-0.0170102201754065,1.810286723081728,93330,2020,4.2684342390083733e-16
2020-01-02,147095583.38258117,1.5387729229448433e-11,928622563.5848116,3.685321909353138e-16,1645501034.8151605,3.515933310644344e-17,190328643.7138889,2.249827925694981e-17,325714669.551844,1.0085771858282096e-18,4.2719838048453525e-16,1.5388156427828918e-11,-0.0043863598068092,-0.0208416746211876,1.8013182351106556,93942,2020,4.2719838048453525e-16
2020-01-03,147093346.36351246,1.538819727108749e-11,928376231.0183704,3.6872778733517583e-16,1645926199.5066476,3.514117120305044e-17,189479608.9349422,2.270035501715956e-17,324632407.7311069,1.0153131989617065e-18,4.275846267543475e-16,1.5388624855714245e-11,0.0182212320621087,0.0025869887058529,1.7776640058765774,95170,2020,4.2758462675434756e-16
2020-01-04,147091869.44725543,1.5388506291469107e-11,928097654.6300396,3.6894917410569207e-16,1646312639.128145,3.512467573704539e-17,188626098.7579704,2.290625249243071e-17,323545265.6338335,1.0221477550863605e-18,4.2800225009025455e-16,1.5388934293719198e-11,-0.0069050663331246,-0.0222559104254645,1.7955401872564123,94556,2020,4.280022500902545e-16
2020-01-05,147091187.90781736,1.5388648895501033e-11,927786915.131266,3.6919635646767653e-16,1646660308.068753,3.5109845149858546e-17,187768141.4792012,2.3116058954474788e-17,322453356.45654833,1.0290819809436336e-18,4.284513425529535e-16,1.5389077346843586e-11,0.0055020428980764,0.008176055493868,1.804886396759097,94556,2020,4.284513425529535e-16
2020-01-06,147091337.49500152,1.5388617595989788e-11,927444098.6792086,3.694693432212316e-16,1646969171.762818,3.509667776357141e-17,186905769.02626848,2.3329863389040257e-17,321356789.7526645,1.036117042224552e-18,4.2893200141606783e-16,1.5389046527991207e-11,-0.0401100377904576,-0.057665408253273,1.786827626238401,92112,2020,4.2893200141606783e-16
2020-01-07,147092353.943976,1.5388404917490732e-11,927069295.8097192,3.697681475569503e-16,1647239205.7543836,3.5085171821821636e-17,186039017.11439684,2.3547756485814066e-17,320255670.3707194,1.0432541516874436e-18,4.294443300162735e-16,1.538883436182075e-11,-0.0227360041485506,-0.0295076118499093,1.8159971299053976,95170,2020,4.2944433001627345e-16
2020-01-08,147094271.9582528,1.5388003610390105e-11,926662599.763804,3.7009278835683996e-16,1647470394.1682184,3.507532555553885e-17,185167925.0985436,2.376983070235344e-17,319150096.884096,1.0504945811134885e-18,4.2998843919584574e-16,1.5388433598829302e-11,0.0021959924169801,-0.0005604706515959,1.8058931994311789,98282,2020,4.2998843919584574e-16
2020-01-09,147097123.48038593,1.5387407013984468e-11,926224104.0660964,3.704432921047724e-16,1647662727.360369,3.5067137283174986e-17,184292535.21440756,2.399618048943726e-17,318040159.5887743,1.05783967686648e-18,4.305644495542511e-16,1.5387837578434025e-11,-0.0442265689659335,-0.0755423229751802,1.8001426446778537,97032,2020,4.305644495542511e-16
2020-01-10,147100935.20901278,1.5386609577043478e-11,925753899.418124,3.708196953654536e-16,1647816198.6951385,3.506060554771876e-17,183412890.932474,2.4226902766941373e-17,316925938.3615158,1.0652908773481146e-18,4.311724945574618e-16,1.5387040749538036e-11,0.0145287896470978,9.550852519529622e-05,1.82893098071045,92720,2020,4.3117249455746186e-16
2020-01-11,147105725.577911,1.5385607490475244e-11,925252070.2834612,3.712220475398394e-16,1647930800.70745,3.505572927957145e-17,182529034.31098172,2.4462097706081082e-17,315807500.9118058,1.0728497288531422e-18,4.318127242543451e-16,1.53860393031995e-11,-0.0527034209894535,-0.0725434346989834,1.7956419642837331,95172,2020,4.318127242543451e-16
2020-01-12,147111501.73092738,1.5384399320109348e-11,924718691.8798488,3.7165041333073015e-16,1648006521.2975905,3.505250795794068e-17,181641002.54469103,2.4701869795323174e-17,314684902.1106148,1.080517894997272e-18,4.324853089789913e-16,1.538483180541833e-11,-0.0217851365360056,-0.0466414491259158,1.802902107071044,96410,2020,4.3248530897899124e-16
2020-01-13,147118257.25766593,1.5382986479354908e-11,924153828.4708326,3.7210487420172116e-16,1648043340.890985,3.5050941731323525e-17,180748824.28284997,2.4946329059927976e-17,313558184.9864853,1.0882971551162945e-18,4.33190442148089e-16,1.5383419669797057e-11,-0.0107275689952847,-0.0316030452314075,1.7960691746606974,95790,2020,4.3319044214808897e-16
2020-01-14,147125971.41563004,1.5381373389897876e-11,923557533.6791952,3.725855282380666e-16,1648041231.4566252,3.505103145930695e-17,179852516.53867066,2.5195592218999047e-17,312427383.57708555,1.0961893894637753e-18,4.339283413058364e-16,1.5381807318239183e-11,-0.0094617232539318,-0.0321794814806566,1.8076752485484069,96410,2020,4.339283413058364e-16
2020-01-15,147134610.1884082,1.53795672575575e-11,922929853.0101306,3.730924882374442e-16,1648000157.8286133,3.505277865691669e-17,178952082.94485778,2.544978355651638e-17,311292527.24534625,1.1041965529640598e-18,4.3469924700384133e-16,1.5380001956804503e-11,0.0001857446451072,-0.0034094816564202,1.8161410204243889,96410,2020,4.3469924700384133e-16
2020-01-16,147144128.9741925,1.5377577506800268e-11,922270828.1135676,3.736258783847445e-16,1647920081.1000063,3.505618535129854e-17,178047513.71207768,2.570903537033628e-17,310153645.61097485,1.112320642735992e-18,4.355034197491153e-16,1.537801301022002e-11,-0.0388043587500961,-0.0592367947325228,1.8026773178796371,94554,2020,4.355034197491153e-16
2020-01-17,147154476.26018026,1.537541500923834e-11,921580501.8797772,3.7418583021993574e-16,1647800963.3117354,3.506125388359082e-17,177138787.13041416,2.5973487998515528e-17,309010773.1557028,1.1205636657525117e-18,4.363411357677945e-16,1.537585135037411e-11,-0.0318247071745192,-0.0630064613428598,1.81047802290068,94550,2020,4.3634113576779457e-16
2020-01-18,147165597.5212802,1.5373091265826373e-11,920858923.4366168,3.747724786385251e-16,1647642772.4946942,3.506798669575789e-17,176225872.09319535,2.6243289530686465e-17,307863952.8327399,1.1289276115859037e-18,4.372126824765553e-16,1.5373528478508848e-11,-0.0125243782305925,-0.0157246968907944,1.8183641233888677,89700,2020,4.3721268247655537e-16
